CodicePratica;DenominazioneSito;Indirizzo;X_gb;Y_gb;MUNICIPIO;ID_NIL;NIL;Y_wgs84;X_wgs84;Location
151460128;Trianto s.r.l.;Via Trivulzio, 18;1511309;5034769;7;52;BANDE NERE;45.46550625;9.14465724;(45.46550625, 9.14465724)
151469159;Area Parco Comunale;Via Concilio Vaticano, II;1511749;5039955;8;76;QUARTO OGGIARO - VIALBA - MUSOCCO;45.51217486;9.15040954;(45.51217486, 9.15040954)
151469329;PV ERG Petroli Spa;Via Farini, 92;1514596;5038164;9;11;ISOLA;45.49600281;9.18680455;(45.49600281, 9.18680455)
151469093;PV ESSO;Via Ornato, 84;1515043;5040874;9;14;NIGUARDA - CA' GRANDA - PRATO CENTENARO - Q.RE FULVIO TESTI;45.52038741;9.19260947;(45.52038741, 9.19260947)
151469225;Cooperativa Verde Moscova Srl;Via Moscova/Fatebenesorelle;1514907;5036012;1;2;BRERA;45.47663147;9.19071595;(45.47663147, 9.19071595)
151460131;PRU Filippo da Liscate - area IULM ex SICPA - C.T.S.;Via Filippo da Liscate / Stantander;1512761;5032080;6;45;MONCUCCO - SAN CRISTOFORO;45.4412811;9.16315677;(45.4412811, 9.16315677)
1514610027;Bonifica area Carrozzeria Victor;Via G.B. Bertini;1513479;5036630;8;69;SARPI;45.48221745;9.17246253;(45.48221745, 9.17246253)
151469493;Area industriale di proprietà Residenza Villoresi Srl;Via Villoresi, 18;1512761;5032624;6;44;PORTA TICINESE - CONCHETTA;45.44617103;9.16317284;(45.44617103, 9.16317284)
151469034;Area dismessa FER.OL.MET;Via Corelli, 42;1519834;5035307;3;24;PARCO FORLANINI - CAVRIANO;45.47016333;9.25372391;(45.47016333, 9.25372391)
151469303;Area ex Silbar;Via Andrea Ponti, 5;1512261;5032648;6;45;MONCUCCO - SAN CRISTOFORO;45.44639604;9.15677868;(45.44639604, 9.15677868)
151469908;Bonifica area ex cabina elettrica ViaGallina;Via Via Gallina 9;1517392;5035240;3;21;BUENOS AIRES - PORTA VENEZIA - PORTA MONFORTE;45.46961932;9.22247796;(45.46961932, 9.22247796)
151469297;Area di via Prinetti;Via Prinetti, 4;1517685;5038302;2;19;PADOVA - TURRO - CRESCENZAGO;45.49717089;9.2263473;(45.49717089, 9.2263473)
151469327;PV Agip 2348;Via Rembrandt, 70;1510385;5034978;7;52;BANDE NERE;45.46740346;9.13283948;(45.46740346, 9.13283948)
151469385;Area di proprietà Il Frontalino;Via Don Minzoni, 7;1513119;5039242;9;77;BOVISA;45.50573969;9.1679321;(45.50573969, 9.1679321)
151469161;PV Esso;Via Lombroso;1517994;5033653;4;29;ORTOMERCATO;45.45532127;9.23012773;(45.45532127, 9.23012773)
151469751;Bonifica a seguito sversamento benzina e gasolio avvenuto il 21/09/09;Tangenziale Ovest - Km 10+600;1506097;5033912;7;55;BAGGIO - Q.RE DEGLI OLMI - Q.RE VALSESIA;45.45785977;9.07797757;(45.45785977, 9.07797757)
151469941;Bonifica ex area artigianale Via Cadolini;Via Cadolini, 13;1517338;5032836;4;28;UMBRIA - MOLISE - CALVAIRATE;45.4479861;9.22170576;(45.4479861, 9.22170576)
151469694;Area P.V. Q8 n. 1148;Via Monte Cimone, 5;1517678;5033080;4;29;ORTOMERCATO;45.45017034;9.22606949;(45.45017034, 9.22606949)
151469848;Ex area artigianale;Via Brembo , 3;1516645;5032434;4;35;LODI - CORVETTO;45.44438057;9.21283463;(45.44438057, 9.21283463)
